review_id,autor,es_local_guide,n_resenas_autor,n_fotos_autor,tiempo_relativo,fecha_aprox,editado,comio_alli,turno,rango_precio,texto,texto_truncado,longitud_texto,reacciones_total,score_positivo,score_negativo,score_sentimiento,tono,respuesta_propietario,tiempo_respuesta_propietario
11,JG-RR,True,187.0,292.0,Hace 3 semanas,2026-07-31,False,False,Comida,30-40 €,"Bien atendido, agradable y un buen sitio para ir en grupo. El tigre de bogavante 🦞 rico, y las chuletillas 🥩 bien pero pueden mejorar. Unos tacos de lechuga 🥬 nos gustaron bastante y recomendables. En resumen siempre con margen de seguir probando y mejorando.",True,259,0,3,0,3,Positiva,,
12,John Dillinger,True,33.0,,Hace 2 meses,2026-06-22,False,False,,50-60 €,Comimos bastante mal en relación calidad precio. Comimos a la carta y no acertamos ni una de los 7 u 8 platos que elegimos. Crero que tienen una carta aparte como de raciones y cosas que la primera vez que fui estaba mejor. Los postres,True,235,0,1,2,-1,Negativa,,
13,Viajero Gourmet82,True,350.0,1963.0,Hace 2 años,2024-08-21,False,True,Cena,30-40 €,Nos sorprendió y gustó mucho conocer este lugar. La carta tiene cosas muy interesantes y los platos están todos muy bien elaborados y equilibrados. Quizás las raciones un poco pequeñas para su precio pero merece la pena conocerlo.  Tapa Cerveza Pan Bravas Croquetas Pan bao de cochinita pibil Torrija,False,300,1,2,1,1,Positiva,,
14,Héctor,True,66.0,260.0,Hace un año,2025-08-21,False,True,Comida,40-50 €,"La cocina es de muy buena calidad, se presta a compartir, y además de los clásicos tienen siempre bastantes opciones fuera de carta.",True,132,3,1,0,1,Positiva,,
15,diana castro,True,14.0,8.0,Hace 2 años,2024-08-21,False,True,Comida,30-40 €,"Una experiencia maravillosa. Fuimos de casualidad y no podía haber acertado más. El trato es maravilloso, la comida fantástica y la terraza de lo más agradable.",True,160,2,4,0,4,Positiva,,
16,Elena Liz Barrenechea,True,68.0,77.0,Hace un año,2025-08-21,False,True,Cena,30-40 €,"Sitio original con comida de muy buena calidad. Nos sorprendió mucho el sabor de los platos, tienen mucha variedad y estaba todo buenísimo. El servicio buenisimo también. Repetiremos sin duda!",True,192,1,6,0,6,Positiva,,
17,M. B.,True,249.0,1217.0,Hace 2 años,2024-08-21,False,True,Cena,20-30 €,"Desastrosa mi experiencia. Fuimos a cenar 3 el viernes, pedimos 3 platos dos de los cuales eran ensaladas y uno unas alcachofas confitadas y no solo nos tuvieron esperando más de 1/2 hora para traer el 1o (que no era para compartir",True,231,1,0,3,-3,Negativa,,
18,Iker Zunzarren,True,67.0,91.0,Hace 3 semanas,2026-07-31,False,False,Cena,,La atención del servicio es inmejorable y la comida destaca sobre los restaurantes de la zona,True,93,0,0,0,0,Neutra/mixta,"Gracias Iker por tu reseña, no sabes cuanto bien nos hacen estas palabras. Un saludo y esperamos verte pronto.",Hace 3 semanas
19,Belano Tinajero,True,82.0,84.0,Hace un año,2025-08-21,False,False,Comida,30-40 €,"Después de varios años sin venir, los sabores y texturas de La Roca siguen sorprendiendo. Para empezar, las bebidas vienen con aperitivo, servidas en copa o vaso largo  Bombones de foie y membrillo. Kimuchi de marisco y bocatín de calamares. No pude esperar a hacer la foto. Salmorejo Pan bao de carrilleras de cerdo. Cromoterapia: crema de zanahoria, granizado de maracuyá y helado de vainilla.",False,395,1,1,1,0,Neutra/mixta,"Agradecemos inmensamente el tiempo que te has tomado para valorarnos positivamente, y desde luego nos alegramos muchísimo que hayas vuelto. Esperamos volver a verte pronto!!!",Hace 11 meses
20,Caen Morales,True,314.0,890.0,Hace 2 años,2024-08-21,False,True,Cena,30-40 €,"Comiendo solo, es complicado encontrar donde comer/cenar tan bien, tan variado, sin salir rodando y poder probar tantas cosas. No soy de regalar estrellas, ni poner 5 estrellas a la ligera, pero si tenía dudas por el sabor, el precio o lo",True,238,3,0,0,0,Neutra/mixta,,
21,Lola Garcia,False,7.0,,Hace 5 meses,2026-03-24,False,False,,40-50 €,"La atención por parte de todos los camareros, en especial de Neim ha sido excelente. Hemos ido en dos ocasiones este mes. Las tapas (el tigre, el bao, la empanadilla",True,165,0,1,0,1,Positiva,,
22,Luis Rodríguez Sánchez,True,267.0,1139.0,Hace 2 años,2024-08-21,False,True,Comida,30-40 €,"Muy sorprendidos por la calidad de muchos de sus platos, no lo esperábamos. Nos encantó y viendo otros comentarios no entendemos porque se critica que muchos son mini platos y que escasísimas las raciones, porque en nuestro caso las  Bravas Croquetas de jamón Bao de cochinita pibil Empanadilla argentina Careta en tempura Tortilla con trufa Fideuá Cocochas de bacalao Deconstrucción de helado Torrija",False,401,0,3,1,2,Positiva,,
23,Mikel,True,250.0,480.0,Hace 3 años,2023-08-22,False,False,,,"Es un lugar sencillo pero la comida está buena y bien cuidada. Recomendable para ir en pareja o con amigos. Tienen un postre que es el pastel árabe que es una auténtica locura, está muy bueno.",False,192,1,2,0,2,Positiva,,
24,Ivanna,True,666.0,5100.0,Hace 4 años,2022-08-22,False,True,Cena,20-30 €,Con todo lo que habíamos leído esperábamos muchísimo más… Nos decepcionó bastante el sitio en general. Los platos a precios de Madrid pero de calidad bastante mejorable. Lo único que llegó a sorprendernos fueron las zamburiñas y el postre.  financier de turrón y helado de galleta tacos de pulpo empanadillas carpaccio de bogavante ensalada de quinoa zamburiñas bombones de foie bombones de foie japotaco,False,404,3,2,3,-1,Negativa,,
25,David Arriero,False,6.0,5.0,Hace 3 años,2023-08-22,False,False,,,"Hacía tiempo que no tenía una experiencia tan agradable en un restaurante. El lugar, la atención y la comida es de una calidad brutal. 2 cartas donde elegir entre raciones más contundentes o “bocados” exquisitos.  Torrija de Brioche Taco Japo-Mexicano Taco de pulpo en tempura & Samm de gambas Oreja en tempura Blinis de sardina Ahumada",False,336,1,4,0,4,Positiva,,
26,Emeonline,True,412.0,587.0,Hace un año,2025-08-21,False,False,Comida,30-40 €,"Nos ha encantado la cocina y su carta. Variada, creativa y muy bien de precio.",True,78,1,1,0,1,Positiva,,
27,Delfina Kg,True,24.0,61.0,Hace 4 años,2022-08-22,False,False,,,"Sitio excelente y Comida de gran calidad. El trato es excelente, sus camareros son muy amables y encantadores. Óscar siempre nos guía con buenas recomendaciones sobre los platos de la carta. Platos con gran sabor y mucho detalle, que varían según temporada. Seguiremos repitiendo!",False,280,2,6,0,6,Positiva,¡Muchas gracias por venir Delfina! Esperamos que vuelvas pronto.,Hace 4 años
28,No Mondays Management-Promotion “Javier NoMondays”,True,190.0,1091.0,Hace un año,2025-08-21,True,False,,,"Espectacular, nos ha encantado. Todo riquísimo. Sam de gambas, tacos de tartar, las bravas, Bao de ternera, cochinita pibil... Todo fabuloso. Los postres un poquito más flojos pero también buenos. Servicio de 10 y cocina muy rápida con las comandas. Repetimos seguro.",True,267,3,3,1,2,Positiva,"¡Muchas gracias por tu comentario! Nos alegra saber que todo haya sido de tu agrado. Trabajamos cada día en darle a nuestros clientes el mejor trato posible, ¡gracias por haberte dado cuenta! Estamos esperando tu próxima visita. Un saludo.",Hace 4 años
29,Gema,True,252.0,1468.0,Hace 3 años,2023-08-22,False,True,Comida,30-40 €,"Local muy amplio que cuenta con terraza. La carta aunque no es muy amplia cubre de sobra los gustos variados que pueden darse en una comida. Las carnes riquísimas, incluida la de la hamburguesa (las patatas tienes que  Torreznos con revolconas Alcachofas a la brasa (con parmentier y rabo de buey) Hamburguesa de vaca Angus Torrija con helado de violeta Tarta de queso con helado de vainilla Carta",False,397,1,1,0,1,Positiva,,
30,IGNACIO FUENTE PACHECO,True,88.0,310.0,Hace un año,2025-08-21,False,False,,,12.09.2024 Para la propuesta que es resulta ser bastante caro. Nos quedamos con hambre. No,True,90,0,0,1,-1,Negativa,,
31,Luis SL,True,387.0,1715.0,Hace 2 años,2024-08-21,False,True,Cena,40-50 €,"Vinimos a cenar 7 personas por recomendación. Comida casera de calidad envuelta en un trato excepcional por parte del personal, sin ninguna duda te hacen sentir como en casa. Da gusto que te atiendan así, y que te pongan la turia de grifo  Ensaladilla Croquetas de jamón Patatas bravas Bravas Croqueta Canelón de rabo de toro Canelón Pimientos rojos T bone T bone",False,363,1,4,1,3,Positiva,,
32,Arturo,True,539.0,3106.0,Hace 4 años,2022-08-22,False,True,Cena,20-30 €,,False,0,0,0,0,0,Neutra/mixta,,
33,Una pena de restaurante.,False,,,,,False,False,,,,False,0,0,0,0,0,Neutra/mixta,,
34,Mamen GoAl,True,375.0,1179.0,Hace un año,2025-08-21,False,True,Comida,40-50 €,"Sitio que merece la pena conocer. Comida muy rica, camareros agradables y profesionales, relación calidad precio excelente. Recomendable 100%.",True,142,1,6,0,6,Positiva,,
35,Antonio Barcos,True,64.0,36.0,Hace 3 años,2023-08-22,False,False,,,"Todo exquisito. La Roca es de esos lugares en los que independientemente del precio, sabes que vas a comer bien. Pedimos varios entrantes (tapas), dos principales más postre, y todo muy bueno. Imprescindible.",False,208,0,2,0,2,Positiva,Gracias Antonio por tomarte un momento de tu tiempo para valorarnos y de esta manera ayudarnos a seguir creciendo.,Hace 3 años
36,Aránzazu,True,79.0,37.0,Hace 2 años,2024-08-21,False,False,Cena,20-30 €,"Me gustó, fui con mi marido ayer para cenar. Atienden rápido y muy bien, la comida muy buena, no son tapas de gran tamaño pero nos gustó probarlas. Los camareros son muy agradables. Repetiremos seguro. Recomiendo las patatas bravas, son originales, caseras y muy ricas. De postre pedimos la torrija.  Torrija",False,308,2,7,0,7,Positiva,,
37,Ale Ruiz,False,4.0,10.0,Hace un año,2025-08-21,False,False,,,"Toda una experiencia. La atención 10000 puntos, con cada plato venía la explicación de cada ingrediente, y ni hablar de lo rico que estaba todo. Súper recomendable los bombones de foie, la carrillera al vino tinto…y el postre “tarta árabe” uuufff!!!",True,249,0,2,0,2,Positiva,,
38,patricia ortiz de solorzano,True,3.0,,Hace un mes,2026-07-22,False,False,Cena,30-40 €,"La comida bastante normal pero el trato de Ney ha sido excelente, aconsejando y sorprendiendo con distintos platos. Nos ha cuidado mucho, un gusto tratar con él.",True,161,0,4,1,3,Positiva,,
39,David Fernandez,True,125.0,97.0,Hace 3 meses,2026-05-23,False,False,Comida,40-50 €,"Excelente restaurante, comida con ingredientes de primera y todo exquisito. El trato es genial. Recomendable 100%",True,113,0,4,0,4,Positiva,,
40,Laura MF,True,77.0,59.0,Hace 4 años,2022-08-22,False,False,,,"Decepcionante....debido al renombre que tiene me esperaba más calidad y elaboración. Quizás fue mala suerte porque los torreznos estaban salados y el pulpo duro, pero...no repetiría.",True,182,2,2,10,-8,Negativa,Buenas Laura! Sentimos mucho que tu experiencia con La Roca no haya sido positiva. Trabajamos cada día en dar el mejor servicio al cliente. ¡Nos alegra saber que te gustó el huevo trufado y los bombones de foie! Esperemos que vuelvas a vernos muy pronto. Un saludo.,Hace 4 años
41,R,True,697.0,3294.0,Hace 11 meses,2025-09-25,True,False,,,Buena atención. Producto de calidad. Buena cocina. Imprescindible reservar. * Pluma * Croquetas * Tarta árabe. Recomendada 👍🏻,True,125,0,3,0,3,Positiva,,
42,Celia Crespo,True,450.0,3483.0,Hace 4 años,2022-08-22,True,False,,,"Buen sitio para picar algo. De servicio rápido y eficiente. Lo mejor de lo que probamos fueron los mejillones a la brasa y las croquetas. Algunos platos demasiado escasos para su precio, como los raviolis de ternera y los tacos de atún. La",True,239,0,0,1,-1,Negativa,"Hola celia, lo primero que las fotos de los platos son bastante antiguas, entonces no corresponden a la fecha de tu opinión , esperemos verte pronto 😉",Hace 4 años
43,Javier Onrubia,True,195.0,859.0,Hace 4 años,2022-08-22,False,False,,,Nos trataron fenomenal. Todo muy rico aunque en mi opinión un pelin caro. Aunque solo por el trato y la calidad de los productos es un sitio para repetir o recomendar y quedar fenomenal.,False,186,0,4,1,3,Positiva,,
44,Jesús Rodríguez Esteban,True,96.0,102.0,Hace un año,2025-08-21,False,False,,,"La Roca es siempre nuestra primera opción en Aravaca y Pozuelo. Nos encanta no solo por su trato al cliente, que es impecable y siempre nos hacen sentir como en casa, sino también por la comida, que es deliciosa y se nota la calidad en cada",True,240,2,4,0,4,Positiva,,
45,Sergio Sanz Casillas,True,11.0,16.0,Hace 3 años,2023-08-22,False,True,Cena,30-40 €,"Comida top, pinchos y platos principales variados y muy bien elaborados. Pedimos bombones de foie y zamburiñas de entrante, seguido de migas con gambas y yema de huevo, y alcachofas con queso parmentier y rabo de toro. Bien servido y",True,233,0,1,0,1,Positiva,,
46,Sandrine Reymond,False,10.0,2.0,Hace 5 meses,2026-03-24,False,False,Cena,50-60 €,"¡¡¡Ney es muy amable, eficaz y nos dio buenos consejos para la comida!!! ¡Las tapas son deliciosas!",True,99,0,2,0,2,Positiva,,
47,Rubén Gutiérrez,True,11.0,17.0,Hace un año,2025-08-21,True,False,,,"Simplemente espectacular, de primero pedimos un poco de todo (provoleta, ventresca, mejillones a la brasa) todo buenísimo y ya en los segundos dieron en el clavo con varios arroces melosos (arroz negro y de solomillo) para terminar los",True,235,0,2,0,2,Positiva,,
48,José Miguel García Márquez,True,15.0,4.0,Hace 2 años,2024-08-21,False,True,Cena,30-40 €,Desde el primer momento te atienden con una profesionalidad que ya no se suele ver en ningún lado. La comida es espectacular. Todo de diez y con un servicio cercano y personal. Volveremos seguro.,True,195,0,3,0,3,Positiva,,
49,Gonzalo Millán Rodríguez,True,150.0,148.0,Hace 2 meses,2026-06-22,False,False,,30-40 €,"Hemos repetido restaurante y sigue todo genial, la comida está ""buenísima"", el personal es super agradable y el local tiene buen ambiente familiar, me gusta.",True,157,0,3,0,3,Positiva,,
50,Gonzalo Gomez,True,112.0,394.0,Hace 6 años,2020-08-22,False,False,,,"Un sitio cojonudo. Camareros majos y muy agradables. La comida increible. La tortilla de Betanzos como si la hubiera comido en Galicia. Las croquetas divinas. El pulpo rico, rico, rico. Así da gusto. No era la primera vez que iba y volveré, sin duda.",False,250,1,6,0,6,Positiva,,
51,ANA ISABEL VELASCO,True,15.0,,Hace un mes,2026-07-22,False,False,Comida,20-30 €,"Nos atendieron fenomenal, todo super rápido y sin esperas, y lo mejor de la experiencia la comida estaba buenísima la carne espectacular. Recomiendo cien por cien .",True,164,0,2,1,1,Positiva,,
52,Mariel Mateos,False,7.0,,Hace 5 meses,2026-03-24,False,False,Comida,,"Pedimos varios menús, diferentes combinaciones, los platos fueron escasos (salvo la hamburguesa que no era escasa pero la carne era pésima) y todos ellos muy corrientes completamente olvidables. Para nada meritorio de Michelin, una decepción total, nada recomendable",True,266,0,1,5,-4,Negativa,,
53,Alvaro.O.D,True,477.0,6846.0,Hace 3 meses,2026-05-23,True,False,,,"Este restaurante bar, que realmente fue todo un hallazgo en su día cuando estaban ubicados en el local pequeño, muy buena calidad, productos de primera y buen asesoramiento, en este nuevo local la calidad no está acorde con lo que comes, no  Bao de langostino en tempura Bao de langostino en tempura Chipirones a la plancha Chipirones plancha Chipirones plancha Taco mejicano de tártaros de atun Carpacho de carabinero",False,418,1,2,2,0,Neutra/mixta,"Sentimos que no haya sido de su agrado pero nuestra materia prima es la de el primer día, un cordial saludo",Hace 5 años
54,Elena Martin,True,22.0,10.0,Hace 11 meses,2025-09-25,False,False,Comida,40-50 €,Comida muy original y rica. Ideal para compartir ya que hay platos individuales que son como tapas.,True,99,0,1,0,1,Positiva,,
55,maria martin ponce,True,23.0,89.0,Hace un año,2025-08-21,False,False,Cena,30-40 €,Comida excelente y camareros encantadores. Volvería mil veces más! Aparcamiento: No,True,83,0,3,0,3,Positiva,,
56,Daniel Canals,True,143.0,1211.0,Hace 7 años,2019-08-23,False,False,,,Espectacular. Restaurante joven pero.con un equipo muy experimentado. Trato excepcional y producto de mercado de primerísima calidad. Vale la pena visitarlo y disfrutar de su acertada carta y tapas. Postres de lujo.Zona de fácil aparcamiento. Altamente recomendable.,False,266,0,4,0,4,Positiva,,
57,Nubia Acosta,True,60.0,84.0,Hace 5 años,2021-08-22,False,False,,,La atención es estupenda. Los platos muy variados y la explicación de cada uno de los platos hace que al degustarlo se sienta el trabajo artesanal que hay detrás y lo mejor de todo es,True,183,0,1,0,1,Positiva,"Nuria nos alegra mucho su comentario, gracias por compartirlo con nosotros, les esperamos pronto",Hace 5 años
58,T. A.,True,25.0,,Hace 5 meses,2026-03-24,True,False,,,"Comida rica, relación calidad precio en general bien. No es barato, tampoco es lo más caro de Pozuelo. Eso sí, algunos platos tienen cantidad adecuada y otros son muy escasos y caro para lo que es. El servicio en general bien.",False,226,0,2,3,-1,Negativa,,
59,Esperanza Urdiales,False,3.0,,Hace un año,2025-08-21,False,True,Comida,Más de 100 €,Un sitio 10. La comida espectacular a un precio más que razonable a la calidad servida. El personal siempre atento y servicial y el sitio muy acogedor y cuidado.,True,161,1,4,0,4,Positiva,Gracias Esperanza por tomarte un momento de tu tiempo para valorarnos. Esperamos verlos pronto!!,Hace un año
60,Juan Antonio Acosta Melero,True,179.0,572.0,Hace 8 meses,2025-12-24,False,False,,30-40 €,"Todo mal. Vi el menú del día de 20€ en la web, llegamos allí y dicen que no hay menú, por qué no lo avisan en la web. Tortilla de Betanzos, no está mal, pero no se parece a la de Betanzos. Pulpo a la brasa normal, pero con un trozo de arroz",True,240,1,0,3,-3,Negativa,,
61,Ivan Ribera,True,313.0,193.0,Hace 4 años,2022-08-22,False,False,,,"Espectacular, magnífico descubrimiento, está todo muy bueno, cocinan de lujo, todos los platos muy elaborados, el trato exquisito, una atención por parte de los camareros expectacular, te explican todos los platos en todo momento, totalmente recomendable. Un sobresaliente.",False,273,0,3,0,3,Positiva,¡Muchas gracias por tu comentario Ivan! ¡Nos alegra saber que hemos sido un descubrimiento! Esperamos verte muy pronto.,Hace 4 años
62,Lucia Sanchez,True,118.0,197.0,Hace 6 años,2020-08-22,False,False,,,"La calidad de la comida es muy buena y el saber estupendo. Las raciones son un poco pequeñas para el precio que tienen pero la verdad que todos los platos de fuera de carta estaba brutal. Este es el postre que era compota de zanahoria, con granizado de pomelo y naranja y helado de violeta, super rico!",False,302,1,4,1,3,Positiva,,
63,Manuel Espejo,True,291.0,288.0,Hace 5 años,2021-08-22,False,False,,,"La calidad de la comida es muy buena. Platos elaborados y una cocina con toques de fusión. Tienen su toque personal y muy buen estilo al combinar ingredientes. El tartar de atún muy bueno, pero no usan algas wakame y eso es un error. El",True,236,0,1,0,1,Positiva,¡Muchas gracias por tu comentario Manuel! Nos alegra saber que tu experiencia en La Roca fue tan positiva. Esperamos verte de nuevo.,Hace 4 años
64,Cesar Mateos,True,125.0,168.0,Hace un año,2025-08-21,False,True,Comida,40-50 €,"Restaurante agradable, tiene sala y terraza techada, comimos tartar de atún y fue lo que más nos gustó, comimos dos tapas y dos platos entre dos personas, bebida cada uno y agua para compartir, 46€ por cabeza.",True,209,0,2,0,2,Positiva,"Gracias Cesar por tu tiempo y tu reseña, esperamos verte pronto",Hace un año
65,Soledad Arroyo,True,116.0,25.0,Hace un año,2025-08-21,True,False,,,"Que gran descubrimiento! Cocina de mercado primorosamente tratada. Sorprendentes combinaciones de sabores y texturas. Y lo mejor, sin duda, el servicio. Antes de que recojas el tenedor que se te ha caído aparece un camarero a recogerlo con",True,239,0,1,0,1,Positiva,"¡Muchas gracias por tu comentario Soledad! Nos encanta saber que tu experiencia en La Roca haya sido positiva, ¡y sobretodo que consideres que hemos sido un descubrimiento! Estamos impacientes por tu próxima visita.",Hace 4 años
66,Dayana Rosa Briñez Yepes,True,29.0,5.0,Hace un año,2025-08-21,False,True,Comida,40-50 €,"Fui con unos compañeros de trabajo y probamos casi toda la carta, el lugar está muy bien y la atención es excelente, de lo que comimos lo que más me gustó fue la tapa de bombones de foie, las migas con gambas y el tartar de atún. De",True,232,1,2,0,2,Positiva,,
67,Susana Perez MUñoz,False,14.0,4.0,Hace 6 meses,2026-02-22,False,False,Cena,20-30 €,"Hacía más de un año que no iba y me he llevado una decepción grande. Era una cocina distinta y bien elaborada y aunque la esencia continúa, de repente te quieren meter unas gambas o unas zamburiñas que no tienen nada que ver con el tipo de",True,239,2,0,0,0,Neutra/mixta,"Buenas tardes Susana, lamento tus palabras y al mismo tiempo las agradezco ya que de todo se aprende, creo que la parte mala es pura y exclusivamente por el mal trato de uno de los nuestros, seguimos manteniendo la calidad y la pasión que siempre nos distinguió, el resto son detalles que a cada uno le puede parecer de una u otra manera como por ejemplo el televisor, no creo que haya nada de malo en poner imágenes de paisajes en alta definición para decorar de alguna manera una pared que no dice nada. Y tampoco queremos ""meter"" nada a nadie, si le parece mal que nos diversifiquemos para ampliar la posible elección de nuestro cliente lo siento. Por lo demás espero que no sea la última vez que nos veamos por aquí y desde luego agradezco su opinion. Un saludo",Hace 6 meses
68,Carmen Maestre,True,1147.0,5351.0,Hace 7 años,2019-08-23,False,False,,,"Conozco Lola restaurante, en Berantevilla. Salí encantada de la alta y espléndida cocina de Alberto Molinero. No puedo decir lo mismo de La Roca. Pedimos varias tapas para compartir. Al camarero no se le ocurrió comentarnos a los seis que",True,238,1,1,0,1,Positiva,"Sentimos que no te haya gustado la experiencia en La Roca, Carmen. Si es verdad que algunas de nuestras tapas son más pequeñas que otras pero son de primera calidad y con los mejores ingredientes. Cuidamos mucho la materia prima y dependiendo de lo que elijas y la elaboración que tenga tendrá una cantidad u otra. Un saludo",Hace 7 años
69,Pilar Pascual,False,6.0,,Hace 3 meses,2026-05-23,False,False,Cena,30-40 €,"Es un sitio muy agradable y la comida muy buena. Con el paso de los años no ha disminuido las ganas de ir alli, con amigos es una apuesta segura.",True,145,0,1,0,1,Positiva,,
70,Xan de Vicus,True,118.0,84.0,Hace 4 años,2022-08-22,False,False,,,"El plato está muy estéticamente presentado. El servicio muy interesado en la buena acogida de los comensales, da gusto ver cómo se interesan por la aceptación del cliente. Calidad en los productos.",False,197,0,2,0,2,Positiva,,
71,Alvaro Sanchez,True,251.0,98.0,Hace 4 meses,2026-04-23,False,False,Cena,40-50 €,"Buen sitio para cenar con platos variados aunque pocas opciones vegetarianas. Los camareros muy amables, eso si es carete, pero en pozuelo..es lo que puedes esperar",True,164,0,1,1,0,Neutra/mixta,,
72,Alejandro Prieto Guerrero,False,6.0,6.0,Hace 8 años,2018-08-23,False,False,,,"Comida excelente aunque lo más importante ha sido el trato recibido por el encargado pendiente de todas las mesas y de que todo este perfecto,me ha dejado fascinado a mi y a mi familia con su rapidez y profesionalidad es algo a tener en",True,236,0,3,0,3,Positiva,,
73,javier colon,True,70.0,206.0,Hace 5 años,2021-08-22,False,False,,,"Tomamos un pulpo a la brasa, muy muy rico...Ensaladilla (le faltaba sal y algo más)Vieiras, muy muy buenas, alcachofas con base de pure de patata y rabo de toro desmenuzado,muy buenas, pero las alcachofas deberían de estar mejor peladas",True,236,0,1,1,0,Neutra/mixta,¡Muchas gracias por tu comentario Javier! Tu opinión nos ayuda a mejorar para poder dar al cliente lo que se merece. ¡Vuelve pronto!,Hace 4 años
74,Lucía Canillas Arias,True,31.0,63.0,Hace 3 años,2023-08-22,False,True,Comida,30-40 €,Todo muy rico. El camarero muy amable. Tiene terraza y es muy agradable,False,71,0,3,0,3,Positiva,,
75,Veronica Manrique,True,85.0,128.0,Hace 3 años,2023-08-22,False,True,Cena,20-30 €,"Pedimos montón cosas, unas muy buenas otras pelin mejorables. Atención muy atenta y rápida.",True,91,0,1,0,1,Positiva,,
76,Leo M,True,20.0,82.0,Hace 2 años,2024-08-21,False,False,,,"Agradable lugar con ambiente distendido y servicio atento, donde degustar platos realizados con mimo y buen gusto.",True,114,0,3,0,3,Positiva,,
77,Eduardo Espinosa Martín,False,9.0,,Hace un mes,2026-07-22,False,False,Cena,30-40 €,"Increíble el trato, la comida buenísima y los camareros de 10, volveremos seguro",True,80,0,3,0,3,Positiva,,
78,María animal,True,129.0,62.0,Hace 2 años,2024-08-21,False,False,,,Hemos cenado divinamente.El servicio ha sido muy agradable y atento. Volveremos.,True,80,0,3,0,3,Positiva,,
79,Anm anm,False,12.0,5.0,Hace un año,2025-08-21,False,True,Comida,30-40 €,"Nos gustó mucho, la atención genial y calidad precio muy bien!!☺️ Lo recomiendo",True,79,0,3,0,3,Positiva,,
