"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
11,"JG-RR","Local Guide · 187 reseñas · 292 fotos","Hace 3 semanas","Comida","30-40 €","Positivo","Tigre de bogavante, Chuletillas, Tacos de lechuga","Bien atendido, sitio agradable para grupos, ricos el tigre y los tacos de lechuga","Chuletillas mejorables","No","Bien atendido, agradable y un buen sitio para ir en grupo. El tigre de bogavante rico, y las chuletillas bien pero pueden mejorar. Unos tacos de lechuga nos gustaron bastante y recomendables. En resumen siempre con margen de seguir probando."
12,"John Dillinger","Local Guide · 33 reseñas · 1 foto","Hace 2 meses","","50-60 €","Negativo","Postres","","Mala relación calidad-precio a la carta, platos fallidos, peor experiencia que en visitas anteriores","No","Comimos bastante mal en relación calidad precio. Comimos a la carta y no acertamos ni una de los 7 u 8 platos que elegimos. Crero que tienen una carta aparte como de raciones y cosas que la primera vez que fui estaba mejor. Los postres..."
13,"Viajero Gourmet82","Local Guide · 350 reseñas · 1.963 fotos","Hace 2 años","Cena","30-40 €","Positivo","Bravas, Croquetas, Pan bao de cochinita pibil, Torrija, Tapa, Cerveza, Pan","Carta interesante, platos bien elaborados y equilibrados","Raciones un poco pequeñas para su precio","No","Nos sorprendió y gustó mucho conocer este lugar. La carta tiene cosas muy interesantes y los platos están todos muy bien elaborados y equilibrados. Quizás las raciones un poco pequeñas para su precio pero merece la pena conocerlo."
14,"Héctor","Local Guide · 66 reseñas · 260 fotos","Hace 1 año","Comida","40-50 €","Positivo","Platos fuera de carta","Muy buena calidad de cocina, ideal para compartir, buenas sugerencias fuera de carta","","No","La cocina es de muy buena calidad, se presta a compartir, y además de los clásicos tienen siempre bastantes opciones fuera de carta."
15,"diana castro","Local Guide · 14 reseñas · 8 fotos","Hace 2 años","Comida","30-40 €","Positivo","","Trato maravilloso, comida fantástica, terraza muy agradable","","No","Una experiencia maravillosa. Fuimos de casualidad y no podía haber acertado más. El trato es maravilloso, la comida fantástica y la terraza de lo más agradable."
16,"Elena Liz Barrenechea","Local Guide · 68 reseñas · 77 fotos","Hace 1 año","Cena","30-40 €","Positivo","","Platos con mucho sabor y variedad, excelente calidad y servicio","","No","Sitio original con comida de muy buena calidad. Nos sorprendió mucho el sabor de los platos, tienen mucha variedad y estaba todo buenísimo. El servicio buenisimo también. Repetiremos sin duda!"
17,"M. B.","Local Guide · 249 reseñas · 1.217 fotos","Hace 2 años","Cena","20-30 €","Negativo","Ensaladas, Alcachofas confitadas","","Más de media hora de espera para platos fríos y desorganización en el servicio","No","Desastrosa mi experiencia. Fuimos a cenar 3 el viernes, pedimos 3 platos dos de los cuales eran ensaladas y uno unas alcachofas confitadas y no solo nos tuvieron esperando más de 1/2 hora para traer el 1o..."
18,"Iker Zunzarren","Local Guide · 67 reseñas · 91 fotos","Hace 3 semanas","Cena","","Positivo","","Atención inmejorable, comida superior a la media de la zona","","Sí","La atención del servicio es inmejorable y la comida destaca sobre los restaurantes de la zona"
19,"Belano Tinajero","Local Guide · 82 reseñas · 84 fotos","Hace 1 año","Comida","30-40 €","Positivo","Bombones de foie y membrillo, Kimuchi de marisco, Bocatín de calamares, Salmorejo, Pan bao de carrilleras de cerdo, Cromoterapia","Sabores y texturas sorprendentes, aperitivo de cortesía con la bebida servida en vaso largo","","Sí","Después de varios años sin venir, los sabores y texturas de La Roca siguen sorprendiendo. Para empezar, las bebidas vienen con aperitivo, servidas en copa o vaso largo..."
20,"Caen Morales","Local Guide · 314 reseñas · 890 fotos","Hace 2 años","Cena","30-40 €","Positivo","","Comida variada y de gran nivel culinario para comensales en solitario, sin sensación de pesadez","","No","Comiendo solo, es complicado encontrar donde comer/cenar tan bien, tan variado, sin salir rodando y poder probar tantas cosas. No soy de regalar estrellas, ni poner 5 estrellas a la ligera, pero si tenía dudas por el sabor, el precio o lo..."
21,"Lola Garcia","7 reseñas","Hace 5 meses","","40-50 €","Positivo","El tigre, Pan bao, Empanadilla criolla","Atención excelente del personal (especial mención a Neim/Ney), tapas ricas","","No","La atención por parte de todos los camareros, en especial de Neim ha sido excelente. Hemos ido en dos ocasiones este mes. Las tapas (el tigre, el bao, la empanadilla..."
22,"Luis Rodríguez Sánchez","Local Guide · 267 reseñas · 1.139 fotos","Hace 2 años","Comida","30-40 €","Positivo","Bravas, Croquetas de jamón, Bao de cochinita pibil, Empanadilla argentina, Careta en tempura, Tortilla con trufa, Fideuá, Cocochas de bacalao, Deconstrucción de helado, Torrija","Calidad altísima en muchos platos, raciones suficientes frente a otras críticas","","No","Muy sorprendidos por la calidad de muchos de sus platos, no lo esperábamos. Nos encantó y viendo otros comentarios no entendemos porque se critica que muchos son mini platos y que escasísimas las raciones, porque en nuestro caso las..."
23,"Mikel","Local Guide · 250 reseñas · 480 fotos","Hace 3 años","","","Positivo","Pastel árabe","Comida buena y bien cuidada, postre pastel árabe espectacular","Local sencillo","No","Es un lugar sencillo pero la comida está buena y bien cuidada. Recomendable para ir en pareja o con amigos. Tienen un postre que es el pastel árabe que es una auténtica locura, está muy bueno."
24,"Ivanna","Local Guide · 666 reseñas · 5.100 fotos","Hace 4 años","Cena","20-30 €","Negativo","Financier de turrón con helado de galleta, Tacos de pulpo, Empanadillas, Carpaccio de bogavante, Ensalada de quinoa, Zamburiñas, Bombones de foie, Japotaco","Zamburiñas y postre ricos","Calidad global mejorable para los precios de Madrid, no cumplió altas expectativas","No","Con todo lo que habíamos leído esperábamos muchísimo más… Nos decepcionó bastante el sitio en general. Los platos a precios de Madrid pero de calidad bastante mejorable. Lo único que llegó a sorprendernos fueron las zamburiñas y el postre."
25,"David Arriero","6 reseñas · 5 fotos","Hace 3 años","","","Positivo","Torrija de Brioche, Taco Japo-Mexicano, Taco de pulpo en tempura, Samm de gambas, Oreja en tempura, Blinis de sardina ahumada","Calidad brutal, atención inmejorable, doble carta flexible de tapas y raciones","","No","Hacía tiempo que no tenía una experiencia tan agradable en un restaurante. El lugar, la atención y la comida es de una calidad brutal. 2 cartas donde elegir entre raciones más contundentes o 'bocados' exquisitos."
26,"Emeonline","Local Guide · 412 reseñas · 587 fotos","Hace 1 año","Comida","30-40 €","Positivo","","Cocina creativa, carta variada y muy ajustada de precio","","No","Nos ha encantado la cocina y su carta. Variada, creativa y muy bien de precio."
27,"Delfina Kg","Local Guide · 24 reseñas · 61 fotos","Hace 4 años","","","Positivo","Platos de temporada","Gran calidad y detalle en los platos, servicio encantador, recomendaciones de Óscar","","Sí","Sitio excelente y Comida de gran calidad. El trato es excelente, sus camareros son muy amables y encantadores. Óscar siempre nos guía con buenas recomendaciones sobre los platos de la carta. Platos con gran sabor y mucho detalle..."
28,"No Mondays Management-Promotion “Javier NoMondays”","Local Guide · 190 reseñas · 1.091 fotos","Hace 1 año","","","Positivo","Sam de gambas, Tacos de tartar, Bravas, Bao de ternera, Cochinita pibil, Postres","Comida riquísima, servicio de 10, rapidez asombrosa de cocina con las comandas","Postres un poco más flojos","Sí","Espectacular, nos ha encantado. Todo riquísimo. Sam de gambas, tacos de tartar, las bravas, Bao de ternera, cochinita pibil... Todo fabuloso. Los postres un poquito más flojos pero también buenos. Servicio de 10 y cocina muy rápida con las comandas."
29,"Gema","Local Guide · 252 reseñas · 1.468 fotos","Hace 3 años","Comida","30-40 €","Positivo","Torreznos con revolconas, Alcachofas a la brasa con parmentier y rabo de buey, Hamburguesa de vaca Angus, Torrija con helado de violeta, Tarta de queso con helado de vainilla","Local amplio con terraza, carnes y hamburguesa deliciosas, carta completa","Patatas de la hamburguesa no incluidas en el plato base","No","Local muy amplio que cuenta con terraza. La carta aunque no es muy amplia cubre de sobra los gustos variados que pueden darse en una comida. Las carnes riquísimas, incluida la de la hamburguesa..."
30,"IGNACIO FUENTE PACHECO","Local Guide · 88 reseñas · 310 fotos","Hace 1 año","","","Negativo","","","Bastante caro para la propuesta, raciones escasas, salida con hambre","No","12.09.2024 Para la propuesta que es resulta ser bastante caro. Nos quedamos con hambre. No..."
31,"Luis SL","Local Guide · 387 reseñas · 1.715 fotos","Hace 2 años","Cena","40-50 €","Positivo","Ensaladilla, Croquetas de jamón, Patatas bravas, Canelón de rabo de toro, Pimientos rojos, T-bone, Cerveza Turia","Comida casera de calidad, trato excepcional y cercano, cerveza Turia de grifo","","No","Vinimos a cenar 7 personas por recomendación. Comida casera de calidad envuelta en un trato excepcional por parte del personal, sin ninguna duda te hacen sentir como en casa. Da gusto que te atiendan así, y que te pongan la turia de grifo..."
32,"Arturo","Local Guide · 539 reseñas · 3.106 fotos","Hace 4 años","Cena","20-30 €","Negativo","","","Experiencia decepcionante frente a las expectativas creadas por las opiniones","No","Una pena de restaurante. Fuimos con muchas ganas al ver las reseñas positivas pero la verdad que no nos..."
33,"Mamen GoAl","Local Guide · 375 reseñas · 1.179 fotos","Hace 1 año","Comida","40-50 €","Positivo","","Comida muy rica, camareros profesionales y agradables, excelente relación calidad-precio","","No","Sitio que merece la pena conocer. Comida muy rica, camareros agradables y profesionales, relación calidad precio excelente. Recomendable 100%."
34,"Antonio Barcos","Local Guide · 64 reseñas · 36 fotos","Hace 3 años","","","Positivo","Tapas de entrante, Platos principales, Postre","Comida deliciosa e impecable independientemente del precio final","","Sí","Todo exquisito. La Roca es de esos lugares en los que independientemente del precio, sabes que vas a comer bien. Pedimos varios entrantes (tapas), dos principales más postre, y todo muy bueno. Imprescindible."
35,"Aránzazu","Local Guide · 79 reseñas · 37 fotos","Hace 2 años","Cena","20-30 €","Positivo","Patatas bravas originales, Torrija","Atención rápida y amable, tapas originales y caseras","Tapas de tamaño reducido","No","Me gustó, fui con mi marido ayer para cenar. Atienden rápido y muy bien, la comida muy buena, no son tapas de gran tamaño pero nos gustó probarlas. Los camareros son muy agradables. Repetiremos seguro. Recomiendo las patatas bravas..."
36,"Ale Ruiz","4 reseñas · 10 fotos","Hace 1 año","","","Positivo","Bombones de foie, Carrillera al vino tinto, Tarta árabe","Atención de 10.000 puntos, camareros explicando minuciosamente cada ingrediente, postre de nivel superior","","No","Toda una experiencia. La atención 10000 puntos, con cada plato venía la explicación de cada ingrediente, y ni hablar de lo rico que estaba todo. Súper recomendable los bombones de foie, la carrillera al vino tinto…y el postre 'tarta árabe' uuufff!!!"
37,"patricia ortiz de solorzano","Local Guide · 3 reseñas","Hace 1 mes","Cena","30-40 €","Mixto","Platos variados fuera de carta","Trato excelente de Ney aconsejando y cuidando la mesa en todo momento","Comida bastante normal sin destacar","No","La comida bastante normal pero el trato de Ney ha sido excelente, aconsejando y sorprendiendo con distintos platos. Nos ha cuidado mucho, un gusto tratar con él."
38,"David Fernandez","Local Guide · 125 reseñas · 97 fotos","Hace 3 meses","Comida","40-50 €","Positivo","","Ingredientes de primera calidad, comida exquisita, trato genial","","No","Excelente restaurante, comida con ingredientes de primera y todo exquisito. El trato es genial. Recomendable 100%"
39,"Laura MF","Local Guide · 77 reseñas · 59 fotos","Hace 4 años","","","Negativo","Torreznos, Pulpo, Huevo trufado, Bombones de foie","Huevo trufado y bombones de foie ricos (mencionados en réplica)","Torreznos excesivamente salados, pulpo duro, calidad inferior al renombre del local","Sí","Decepcionante....debido al renombre que tiene me esperaba más calidad y elaboración. Quizás fue mala suerte porque los torreznos estaban salados y el pulpo duro, pero...no repetiría."
40,"R","Local Guide · 697 reseñas · 3.294 fotos","Hace 11 meses","","","Positivo","Pluma ibérica, Croquetas, Tarta árabe","Producto de calidad, buena cocina, atención cuidada","Imprescindible reservar con antelación","No","Buena atención. Producto de calidad. Buena cocina. Imprescindible reservar. Pluma, Croquetas, Tarta árabe. Recomendada."
41,"Celia Crespo","Local Guide · 450 reseñas · 3.483 fotos","Hace 4 años","","","Mixto","Mejillones a la brasa, Croquetas, Raviolis de ternera, Tacos de atún","Servicio rápido y eficiente, mejillones a la brasa y croquetas sobresalientes","Platos escasos para su precio (raviolis y tacos de atún)","Sí","Buen sitio para picar algo. De servicio rápido y eficiente. Lo mejor de lo que probamos fueron los mejillones a la brasa y las croquetas. Algunos platos demasiado escasos para su precio, como los raviolis de ternera y los tacos de atún."
42,"Javier Onrubia","Local Guide · 195 reseñas · 859 fotos","Hace 4 años","","","Positivo","","Trato fenomenal, calidad indiscutible de producto","Un pelín caro","No","Nos trataron fenomenal. Todo muy rico aunque en mi opinión un pelin caro. Aunque solo por el trato y la calidad de los productos es un sitio para repetir o recomendar y quedar fenomenal."
43,"Jesús Rodríguez Esteban","Local Guide · 96 reseñas · 102 fotos","Hace 1 año","","","Positivo","","Trato al cliente impecable (te hacen sentir como en casa), calidad indiscutible en cada plato","","No","La Roca es siempre nuestra primera opción en Aravaca y Pozuelo. Nos encanta no solo por su trato al cliente, que es impecable y siempre nos hacen sentir como en casa, sino también por la comida..."
44,"Sergio Sanz Casillas","Local Guide · 11 reseñas · 16 fotos","Hace 3 años","Cena","30-40 €","Positivo","Bombones de foie, Zamburiñas, Migas con gambas y yema de huevo, Alcachofas con parmentier y rabo de toro","Pinchos y platos principales variados, bien elaborados y bien servidos","","No","Comida top, pinchos y platos principales variados y muy bien elaborados. Pedimos bombones de foie y zamburiñas de entrante, seguido de migas con gambas y yema de huevo, y alcachofas con queso parmentier y rabo de toro. Bien servido..."
45,"Sandrine Reymond","10 reseñas · 2 fotos","Hace 5 meses","Cena","50-60 €","Positivo","Tapas variadas","Tapas deliciosas, atención amable, eficiente y con grandes consejos por parte de Ney","","No","¡¡¡Ney es muy amable, eficaz y nos dio buenos consejos para la comida!!! ¡Las tapas son deliciosas!"
46,"Rubén Gutiérrez","Local Guide · 11 reseñas · 17 fotos","Hace 1 año","","","Positivo","Provoleta, Ventresca, Mejillones a la brasa, Arroz negro, Arroz de solomillo, Postres","Platos espectaculares, entrantes y arroces melosos impecables","","No","Simplemente espectacular, de primero pedimos un poco de todo (provoleta, ventresca, mejillones a la brasa) todo buenísimo y ya en los segundos dieron en el clavo con varios arroces melosos (arroz negro y de solomillo) para terminar..."
47,"José Miguel García Márquez","Local Guide · 15 reseñas · 4 fotos","Hace 2 años","Cena","30-40 €","Positivo","","Servicio cercano, trato con profesionalidad excepcional y comida de 10","","No","Desde el primer momento te atienden con una profesionalidad que ya no se suele ver en ningún lado. La comida es espectacular. Todo de diez y con un servicio cercano y personal. Volveremos seguro."
48,"Gonzalo Millán Rodríguez","Local Guide · 150 reseñas · 148 fotos","Hace 2 meses","","30-40 €","Positivo","","Comida buenísima, personal súper agradable, ambiente familiar","","No","Hemos repetido restaurante y sigue todo genial, la comida está 'buenísima', el personal es super agradable y el local tiene buen ambiente familiar, me gusta."
49,"Gonzalo Gomez","Local Guide · 112 reseñas · 394 fotos","Hace 6 años","","","Positivo","Tortilla de Betanzos, Croquetas, Pulpo","Platos increíbles (tortilla idéntica a la gallega, croquetas divinas), camareros majos","","No","Un sitio cojonudo. Camareros majos y muy agradables. La comida increible. La tortilla de Betanzos como si la hubiera comido en Galicia. Las croquetas divinas. El pulpo rico, rico, rico. Así da gusto."
50,"ANA ISABEL VELASCO","Local Guide · 15 reseñas","Hace 1 mes","Comida","20-30 €","Positivo","Carne","Carne espectacular, servicio súper rápido y sin esperas","","No","Nos atendieron fenomenal, todo super rápido y sin esperas, y lo mejor de la experiencia la comida estaba buenísima la carne espectacular. Recomiendo cien por cien ."
51,"Mariel Mateos","7 reseñas · 1 foto","Hace 5 meses","Comida","","Negativo","Hamburguesa, Menús variados","","Menús corrientes y olvidables, raciones escasas, carne de hamburguesa de pésima calidad, indigno de reconocimiento Michelin","No","Pedimos varios menús, diferentes combinaciones, los platos fueron escasos (salvo la hamburguesa que no era escasa pero la carne era pésima) y todos ellos muy corrientes completamente olvidables. Para nada meritorio de Michelin, una decepción total..."
52,"Alvaro.O.D","Local Guide · 477 reseñas · 6.846 fotos","Hace 3 meses","","","Negativo","Bao de langostino en tempura, Chipirones a la plancha, Taco mejicano de tartar de atún, Carpaccio de carabinero","Buen recuerdo del antiguo local","Pérdida de calidad culinaria en el nuevo local respecto a sus inicios","Sí","Este restaurante bar, que realmente fue todo un hallazgo en su día cuando estaban ubicados en el local pequeño, muy buena calidad, productos de primera y buen asesoramiento, en este nuevo local la calidad no está acorde con lo que comes..."
53,"Elena Martin","Local Guide · 22 reseñas · 10 fotos","Hace 11 meses","Comida","40-50 €","Positivo","Tapas individuales","Comida original y rica, formato perfecto para compartir tapas individuales","","No","Comida muy original y rica. Ideal para compartir ya que hay platos individuales que son como tapas."
54,"maria martin ponce","Local Guide · 23 reseñas · 89 fotos","Hace 1 año","Cena","30-40 €","Positivo","","Comida excelente, camareros encantadores","Sin aparcamiento propio","No","Comida excelente y camareros encantadores. Volvería mil veces más! Aparcamiento: No"
55,"Daniel Canals","Local Guide · 143 reseñas · 1.211 fotos","Hace 7 años","","","Positivo","Tapas, Postres","Producto de mercado de primera calidad, trato excepcional, postres de lujo, zona con fácil aparcamiento","","No","Espectacular. Restaurante joven pero con un equipo muy experimentado. Trato excepcional y producto de mercado de primerísima calidad. Vale la pena visitarlo y disfrutar de su acertada carta y tapas. Postres de lujo.Zona de fácil aparcamiento."
56,"Nubia Acosta","Local Guide · 60 reseñas · 84 fotos","Hace 5 años","","","Positivo","","Atención estupenda, trabajo artesanal perceptible en los platos, explicaciones detalladas","","Sí","La atención es estupenda. Los platos muy variados y la explicación de cada uno de los platos hace que al degustarlo se sienta el trabajo artesanal que hay detrás..."
57,"T. A.","Local Guide · 25 reseñas","Hace 5 meses","","","Mixto","","Comida rica, servicio correcto, precios normales para el estándar de Pozuelo","Raciones muy dispares: unos platos son adecuados y otros extremadamente escasos para su precio","No","Comida rica, relación calidad precio en general bien. No es barato, tampoco es lo más caro de Pozuelo. Eso sí, algunos platos tienen cantidad adecuada y otros son muy escasos y caro para lo que es. El servicio en general bien."
58,"Esperanza Urdiales","3 reseñas · 1 foto","Hace 1 año","Comida","Más de 100 €","Positivo","","Comida espectacular a precio razonable por la calidad, personal atento y servicial, local acogedor","","Sí","Un sitio 10. La comida espectacular a un precio más que razonable a la calidad servida. El personal siempre atento y servicial y el sitio muy acogedor y cuidado."
59,"Juan Antonio Acosta Melero","Local Guide · 179 reseñas · 572 fotos","Hace 8 meses","","30-40 €","Negativo","Tortilla de Betanzos, Pulpo a la brasa con arroz","","Publicidad engañosa en web (menú de 20€ que luego no existe en sala), tortilla que no respeta la receta de Betanzos, pulpo corriente","No","Todo mal. Vi el menú del día de 20€ en la web, llegamos allí y dicen que no hay menú, por qué no lo avisan en la web. Tortilla de Betanzos, no está mal, pero no se parece a la de Betanzos. Pulpo a la brasa normal, pero con un trozo de arroz..."
60,"Ivan Ribera","Local Guide · 313 reseñas · 193 fotos","Hace 4 años","","","Positivo","","Cocina elaborada de lujo, trato exquisito, camareros explicando minuciosamente cada plato","","Sí","Espectacular, magnífico descubrimiento, está todo muy bueno, cocinan de lujo, todos los platos muy elaborados, el trato exquisito, una atención por parte de los camareros expectacular, te explican todos los platos en todo momento..."
61,"Lucia Sanchez","Local Guide · 118 reseñas · 197 fotos","Hace 6 años","","","Positivo","Postre de zanahoria con granizado de pomelo/naranja y helado de violeta, Platos fuera de carta","Calidad y sabor brutales en platos y sugerencias, postre fuera de serie","Raciones algo reducidas para su precio","No","La calidad de la comida es muy buena y el saber estupendo. Las raciones son un poco pequeñas para el precio que tienen pero la verdad que todos los platos de fuera de carta estaba brutal. Este es el postre que era compota de zanahoria..."
62,"Manuel Espejo","Local Guide · 291 reseñas · 288 fotos","Hace 5 años","","","Positivo","Tartar de atún","Comida muy buena, toques de cocina fusión bien combinados","Omisión de alga wakame en el tartar de atún","No","La calidad de la comida es muy buena. Platos elaborados y una cocina con toques de fusión. Tienen su toque personal y muy buen estilo al combinar ingredientes. El tartar de atún muy bueno, pero no usan algas wakame y eso es un error."
63,"Cesar Mateos","Local Guide · 125 reseñas · 168 fotos","Hace 1 año","Comida","40-50 €","Positivo","Tartar de atún, Tapas y platos","Comedor agradable con terraza cubierta, tartar de atún sobresaliente","Precio algo elevado (46€/persona con tapas, platos y agua)","Sí","Restaurante agradable, tiene sala y terraza techada, comimos tartar de atún y fue lo que más nos gustó, comimos dos tapas y dos platos entre dos personas, bebida cada uno y agua para compartir, 46€ por cabeza."
64,"Soledad Arroyo","Local Guide · 116 reseñas · 25 fotos","Hace 1 año","","","Positivo","","Cocina de mercado impecable con texturas sorprendentes, servicio anticipativo y atento de diez","","Sí","Que gran descubrimiento! Cocina de mercado primorosamente tratada. Sorprendentes combinaciones de sabores y texturas. Y lo mejor, sin duda, el servicio. Antes de que recojas el tenedor que se te ha caído aparece un camarero a recogerlo..."
65,"Dayana Rosa Briñez Yepes","Local Guide · 29 reseñas · 5 fotos","Hace 1 año","Comida","40-50 €","Positivo","Bombones de foie, Migas con gambas, Tartar de atún","Comida y carta deliciosa, atención excelente del equipo","","No","Fui con unos compañeros de trabajo y probamos casi toda la carta, el lugar está muy bien y la atención es excelente, de lo que comimos lo que más me gustó fue la tapa de bombones de foie, las migas con gambas y el tartar de atún."
66,"Susana Perez MUñoz","14 reseñas · 4 fotos","Hace 6 meses","Cena","20-30 €","Negativo","Gambas, Zamburiñas","Esencia original todavía presente","Presión comercial por pedir marisco no acorde al estilo gastronómico del local, mal trato puntual de un camarero, pantallas decorativas fuera de lugar","Sí","Hacía más de un año que no iba y me he llevado una decepción grande. Era una cocina distinta y bien elaborada y aunque la esencia continúa, de repente te quieren meter unas gambas o unas zamburiñas que no tienen nada que ver con el tipo de restaurante..."
67,"Carmen Maestre","Local Guide · 1.147 reseñas · 5.351 fotos","Hace 7 años","","","Negativo","Tapas para compartir","Buen recuerdo de la cocina de Alberto Molinero en Berantevilla","Tapas con cantidades mínimas para mesas de seis personas sin previo aviso del personal","Sí","Conozco Lola restaurante, en Berantevilla. Salí encantada de la alta y espléndida cocina de Alberto Molinero. No puedo decir lo mismo de La Roca. Pedimos varias tapas para compartir. Al camarero no se le ocurrió comentarnos a los seis que..."
68,"Pilar Pascual","6 reseñas","Hace 3 meses","Cena","30-40 €","Positivo","","Comida muy buena y regularidad garantizada con los años, ideal para ir con amigos","","No","Es un sitio muy agradable y la comida muy buena. Con el paso de los años no ha disminuido las ganas de ir alli, con amigos es una apuesta segura."
69,"Xan de Vicus","Local Guide · 118 reseñas · 84 fotos","Hace 4 años","","","Positivo","","Platos estéticamente muy cuidados, productos de calidad, personal muy preocupado por la satisfacción del cliente","","No","El plato está muy estéticamente presentado. El servicio muy interesado en la buena acogida de los comensales, da gusto ver cómo se interesan por la aceptación del cliente. Calidad en los productos."
70,"Alvaro Sanchez","Local Guide · 251 reseñas · 98 fotos","Hace 4 meses","Cena","40-50 €","Positivo","","Camareros amables, platos variados","Pocas opciones para vegetarianos, precios algo elevados","No","Buen sitio para cenar con platos variados aunque pocas opciones vegetarianas. Los camareros muy amables, eso si es carete, pero en pozuelo..es lo que puedes esperar"
71,"Alejandro Prieto Guerrero","6 reseñas · 6 fotos","Hace 8 años","","","Positivo","","Comida excelente, profesionalidad y rapidez brillante del encargado supervisando mesas","","No","Comida excelente aunque lo más importante ha sido el trato recibido por el encargado pendiente de todas las mesas y de que todo este perfecto,me ha dejado fascinado a mi y a mi familia con su rapidez y profesionalidad..."
72,"javier colon","Local Guide · 70 reseñas · 206 fotos","Hace 5 años","","","Mixto","Pulpo a la brasa, Vieiras, Alcachofas con puré y rabo de toro, Ensaladilla","Pulpo, vieiras y guiso de rabo deliciosos","Ensaladilla sosa a falta de sal, alcachofas mal peladas con hojas duras","Sí","Tomamos un pulpo a la brasa, muy muy rico...Ensaladilla (le faltaba sal y algo más)Vieiras, muy muy buenas, alcachofas con base de pure de patata y rabo de toro desmenuzado,muy buenas, pero las alcachofas deberían de estar mejor peladas"
